site,site_description,latitude,longitude
1,M1 Inbound - Cardenia Rd,-37.9437820000,145.202680000000
2,M1 IB west of Eastlink,-37.9437820000,145.202680000000
3,M1 Outbound - Eastlink Interchange,-37.9435570000,145.203038000000
4,M1 Inbound - Eastlink Interchange,-37.9470700000,145.206884000000
5,M1 Outbound - Eastlink Interchange,-37.9467190000,145.207280000000
6,M1 Inbound - Before Police Rd Exit Ramp,-37.9503640000,145.211382000000
7,M1 Outbound - Before Stud Rd Exit Ramp,-37.9500360000,145.211814000000
8,M1 Inbound - After Brady Rd,-37.9526830000,145.214774000000
9,M1 Outbound - McGregor entry,-37.9523470000,145.215144000000
10,M1 Inbound - Before Eastlink Interchange,-37.9558300000,145.219326000000
11,M1 Outbound - Past Eastlink Interchange,-37.9555670000,145.219652000000
12,M1 Inbound - Stud Rd Entry Ramp Bullnose,-37.9587980000,145.223457000000
13,M1 Outbound - Stud Road On Ramp,-37.9585520000,145.223773000000
14,M1 Inbound - Stud Rd off ramp,-37.9620212000,145.227980000000
15,M1 Outbound - First after Stud Rd onramp,-37.9616730000,145.228366000000
16,M1 Inbound - Just Before Stud Rd Exit Ramp,-37.9640370000,145.230871000000
17,M1 Outbound - Just After Stud Rd Entry Ramp,-37.9637500000,145.231212000000
18,M1 Inbound - After Heatherton Rd Entry Ramp,-37.9664740000,145.234061000000
19,M1 Outbound - Before Heatherton Rd Exit Ramp,-37.9662820000,145.234436000000
20,M1 Inbound - Heatherton Rd Entry Ramp Bullnose,-37.9708190000,145.236705000000
21,M1 Outbound - Heatherton Rd Exit Ramp,-37.9708170000,145.237140000000
22,M1 Inbound - Heatherton Rd Exit Ramp,-37.9749360000,145.237894000000
23,M1 Outbound - Heatherton Rd Entry Ramp,-37.9747510000,145.238385000000
24,M1 Inbound - Under Power Rd Overpass,-37.9780110000,145.240529000000
25,M1 Outbound - Under Power Rd Overpass,-37.9778050000,145.240911000000
26,M1 Inbound - Before Heatherton Rd Exit,-37.9817850000,145.244513000000
27,M1 Outbound - After Heatherton Rd,-37.9815830000,145.244931000000
28,M1 Inbound - Above Kidds Rd,-37.9878730000,145.251098000000
29,M1 Outbound - Just Past Sth Gippy Exit Ramp,-37.9877260000,145.251313000000
30,M1 Inbound - South Gippsland fwy off ramp,-37.9928160000,145.257545000000
31,M1 Outbound - Before Belgrave-Hallam Rd Exit,-37.9925010000,145.257782000000
32,M1 Inbound - After Belgrave-Hallam Rd,-37.9954420000,145.265617000000
33,M1 Outbound - Before Belgrave Hallam Rd,-37.9951390000,145.265763000000
34,M1 Inbound - Belgrave Hallam Rd on ramp,-37.9972300000,145.271320000000
35,M1 Outbound - Belgrave Hallam off ramp,-37.9969210000,145.271455000000
36,M1 Inbound - Past Belgrave Hallam Rd,-37.9983730000,145.278464000000
37,M1 PFW Inbound - Kororoit Creek Rd Btwn Ramps (NEB),-37.8438780000,144.786005000000
38,M1 PFW Outbound - Kororoit Creek Rd Btwn Ramps (SWB),-37.8442995900,144.786331900000
39,M1 Outbound - Belgrave-Hallam Rd on ramp,-37.9980800000,145.278452000000
40,M1 Inbound - Before Belgrave Hallam Rd Exit Ramp,-37.9989550000,145.282255000000
41,M1 Outbound - Before Ernst Wanke exit,-37.9985720000,145.282392000000
42,M1 Inbound - Ernst Wanke Rd Entry Ramp,-38.0001740000,145.290708000000
43,M1 Outbound - Ernst Wanke Rd Off Ramp,-37.9999000000,145.290826000000
44,M1 Inbound - Before Ernst Wanke Rd,-38.0027020000,145.296042000000
45,M1 Outbound - After Ernst Wanke Rd,-38.0025230000,145.296299000000
