site_id|site_name|road_name|corridor|latitude|longitude|region|is_active_in_data|notes|is_core
1|M1 Inbound - Cardenia Rd||M1 Monash/West Gate Fwy|-37.9437820|145.2026800|Greater Melbourne|0||0
10|M1 Inbound - Before Eastlink Interchange||M1 Monash/West Gate Fwy|-37.9558300|145.2193260|Greater Melbourne|1||0
100|M1 Inbound - PMC14175 Before McGregor Rd||M1 Monash/West Gate Fwy|-38.0917380|145.4745450|Greater Melbourne|0||0
101|M1 Inbound - RCB25164 Just After Koo Wee Rup Rd (FDS03b)||M1 Monash/West Gate Fwy|-38.0920040|145.4813310|Greater Melbourne|1||1
102|M1 Outbound - RCB25164 Just Before Koo Wee Rup Rd (FDS03a)||M1 Monash/West Gate Fwy|-38.0916050|145.4813580|Greater Melbourne|1||1
103|M1 Inbound - Koo Wee Rup||M1 Monash/West Gate Fwy|-38.0920590|145.4871040|Greater Melbourne|1||1
104|M1 Outbound - Koo Wee Rup||M1 Monash/West Gate Fwy|-38.0917680|145.4871360|Greater Melbourne|1||1
105|M1 Inbound - before Josephine avenue||M1 Monash/West Gate Fwy|-38.0075470|145.2998090|Greater Melbourne|1||1
106|M1 Outbound - Just before Narre Warren Nth Road||M1 Monash/West Gate Fwy|-38.0074780|145.3001730|Greater Melbourne|1||1
107|M80 Outbound - Keilor park off ramp (EB)||M80 Ring Road|-37.7439900|144.8430890|Greater Melbourne|1||1
108|M80 Outbound - Keilor Park Drive Exit (EB)||M80 Ring Road|-37.7404750|144.8489080|Greater Melbourne|1||1
109|M80 Inbound - Just before Keilor Park on ramp (WB)||M80 Ring Road|-37.7407310|144.8492830|Greater Melbourne|1||0
11|M1 Outbound - Past Eastlink Interchange||M1 Monash/West Gate Fwy|-37.9555670|145.2196520|Greater Melbourne|1||0
110|M80 Outbound - Beneath Gantry 153 (EB)||M80 Ring Road|-37.7360850|144.8521240|Greater Melbourne|1||1
111|M80 Inbound - Keilor park exit Altona bound (WB)||M80 Ring Road|-37.7362430|144.8525940|Greater Melbourne|1||0
112|M80 Inbound - Keilor Park Drive Exit (WB)||M80 Ring Road|-37.7327120|144.8541650|Greater Melbourne|1||1
113|M80 Outbound - Before Calder Fwy exit (EB)||M80 Ring Road|-37.7324920|144.8537520|Greater Melbourne|1||0
114|M80 Inbound - Altona bound EJ Whitten bridge (WB)||M80 Ring Road|-37.7443890|144.8433680|Greater Melbourne|1||0
115|M1 Before High Street Bridge Inbound (WB)||M1 Monash/West Gate Fwy|-37.8604740|145.0592340|Greater Melbourne|0||0
116|Calder FWY Outbound - After gantry M2-138 (WB)||Other Metro Road|-37.7349300|144.8962000|Greater Melbourne|1||1
117|Tullamarine FWY Outbound - After gantry M2-138 (WB)||Tullamarine Fwy|-37.7347820|144.8963810|Greater Melbourne|1||1
118|Tullamarine FWY Inbound - Before gantry M2-138 (EB)||Tullamarine Fwy|-37.7346460|144.8964010|Greater Melbourne|1||1
119|Tullamarine FWY Inbound - Before gantry M2-141 (EB)||Tullamarine Fwy|-37.7341460|144.8936580|Greater Melbourne|1||1
12|M1 Inbound - Stud Rd Entry Ramp Bullnose||M1 Monash/West Gate Fwy|-37.9587980|145.2234570|Greater Melbourne|1||1
120|Tullamarine FWY Outbound - Before gantry Tul-508 (WB)||Tullamarine Fwy|-37.7331180|144.8914630|Greater Melbourne|1||1
121|Tullamarine FWY Outbound - Before gantry M2-146 (NB)||Tullamarine Fwy|-37.7307710|144.8905230|Greater Melbourne|1||1
122|Tullamarine FWY Inbound - After gantry M2-146 (SB)||Tullamarine Fwy|-37.7307580|144.8907330|Greater Melbourne|1||1
123|Tullamarine FWY Inbound - After English St exit ramp (SB)||Tullamarine Fwy|-37.7269740|144.8910490|Greater Melbourne|1||1
124|Tullamarine FWY Outbound - English St exit ramp Bullnose (NB)||Tullamarine Fwy|-37.7270890|144.8908210|Greater Melbourne|1||1
125|Tullamarine FWY Outbound - Before English St entry (NB)||Tullamarine Fwy|-37.7236330|144.8916080|Greater Melbourne|1||1
126|Tullamarine FWY Inbound - After English St exit (SB)||Tullamarine Fwy|-37.7236350|144.8916090|Greater Melbourne|1||1
127|Tullamarine FWY Outbound - After English St exit ramp (NB)||Tullamarine Fwy|-37.7205060|144.8919650|Greater Melbourne|1||1
128|Tullamarine FWY Inbound - After Wirraway Rd On Ramp (SB)||Tullamarine Fwy|-37.7205210|144.8921750|Greater Melbourne|1||1
129|Tullamarine FWY Inbound - Wirraway Rd On Ramp Bullnose (SB)||Tullamarine Fwy|-37.7167490|144.8927510|Greater Melbourne|1||1
13|M1 Outbound - Stud Road On Ramp||M1 Monash/West Gate Fwy|-37.9585520|145.2237730|Greater Melbourne|1||1
130|Tullamarine FWY Outbound - Before Wirraway Rd Overpass (NB)||Tullamarine Fwy|-37.7150620|144.8921070|Greater Melbourne|1||1
131|Tullamarine FWY Inbound - After Wirraway Rd Exit (SB)||Tullamarine Fwy|-37.7139550|144.8928320|Greater Melbourne|1||1
132|Tullamarine FWY Inbound - Before Wirraway Rd Exit (SB)||Tullamarine Fwy|-37.7113930|144.8916040|Greater Melbourne|1||1
133|Tullamarine FWY Outbound - Before M80 Exit (NB)||Tullamarine Fwy|-37.7114440|144.8908920|Greater Melbourne|1||1
134|Tullamarine FWY Inbound - After WRR Interchange (SB)||Tullamarine Fwy|-37.7069280|144.8901610|Greater Melbourne|1||1
135|Tullamarine FWY Outbound - Before M80 Overpass (NB)||Tullamarine Fwy|-37.7067860|144.8896880|Greater Melbourne|1||0
136|Tullamarine FWY Inbound - Before WRR Interchange (SB)||Tullamarine Fwy|-37.7029670|144.8891940|Greater Melbourne|1||1
137|Tullamarine FWY Outbound - After M80 Interchange (NB)||Tullamarine Fwy|-37.7009450|144.8880960|Greater Melbourne|1||1
138|Tullamarine FWY Inbound - Before WRR Interchange (SB)||Tullamarine Fwy|-37.6981090|144.8875590|Greater Melbourne|1||0
