speed_bin|speed_low|speed_high|speed_mid|sort_order
0km/hr to < 5km/hr|0|5|2.5|0
100km/hr to < 105km/hr|100|105|102.5|100
105km/hr to < 110km/hr|105|110|107.5|105
10km/hr to < 15km/hr|10|15|12.5|10
110km/hr to < 115km/hr|110|115|112.5|110
115km/hr to < 120km/hr|115|120|117.5|115
120km/hr to < 125km/hr|120|125|122.5|120
125km/hr to < 130km/hr|125|130|127.5|125
130km/hr to < 135km/hr|130|135|132.5|130
135km/hr to < 140km/hr|135|140|137.5|135
140km/hr to < 145km/hr|140|145|142.5|140
145km/hr to < 150km/hr|145|150|147.5|145
150km/hr +|150||152.5|150
15km/hr to < 20km/hr|15|20|17.5|15
20km/hr to < 25km/hr|20|25|22.5|20
25km/hr to < 30km/hr|25|30|27.5|25
30km/hr to < 35km/hr|30|35|32.5|30
35km/hr to < 40km/hr|35|40|37.5|35
40km/hr to < 45km/hr|40|45|42.5|40
45km/hr to < 50km/hr|45|50|47.5|45
50km/hr to < 55km/hr|50|55|52.5|50
55km/hr to < 60km/hr|55|60|57.5|55
5km/hr to < 10km/hr|5|10|7.5|5
60km/hr to < 65km/hr|60|65|62.5|60
65km/hr to < 70km/hr|65|70|67.5|65
70km/hr to < 75km/hr|70|75|72.5|70
75km/hr to < 80km/hr|75|80|77.5|75
80km/hr to < 85km/hr|80|85|82.5|80
85km/hr to < 90km/hr|85|90|87.5|85
90km/hr to < 95km/hr|90|95|92.5|90
95km/hr to < 100km/hr|95|100|97.5|95
