time_bin|hour_of_day|time_label|period_type|is_peak|is_am_peak|is_pm_peak
00:00:00|0|00:00-00:15|Off-peak|0|0|0
00:15:00|0|00:15-00:30|Off-peak|0|0|0
00:30:00|0|00:30-00:45|Off-peak|0|0|0
00:45:00|0|00:45-01:00|Off-peak|0|0|0
01:00:00|1|01:00-01:15|Off-peak|0|0|0
01:15:00|1|01:15-01:30|Off-peak|0|0|0
01:30:00|1|01:30-01:45|Off-peak|0|0|0
01:45:00|1|01:45-02:00|Off-peak|0|0|0
02:00:00|2|02:00-02:15|Off-peak|0|0|0
02:15:00|2|02:15-02:30|Off-peak|0|0|0
02:30:00|2|02:30-02:45|Off-peak|0|0|0
02:45:00|2|02:45-03:00|Off-peak|0|0|0
03:00:00|3|03:00-03:15|Off-peak|0|0|0
03:15:00|3|03:15-03:30|Off-peak|0|0|0
03:30:00|3|03:30-03:45|Off-peak|0|0|0
03:45:00|3|03:45-04:00|Off-peak|0|0|0
04:00:00|4|04:00-04:15|Off-peak|0|0|0
04:15:00|4|04:15-04:30|Off-peak|0|0|0
04:30:00|4|04:30-04:45|Off-peak|0|0|0
04:45:00|4|04:45-05:00|Off-peak|0|0|0
05:00:00|5|05:00-05:15|Off-peak|0|0|0
05:15:00|5|05:15-05:30|Off-peak|0|0|0
05:30:00|5|05:30-05:45|Off-peak|0|0|0
05:45:00|5|05:45-06:00|Off-peak|0|0|0
06:00:00|6|06:00-06:15|Early AM Build-up|0|0|0
06:15:00|6|06:15-06:30|Early AM Build-up|0|0|0
06:30:00|6|06:30-06:45|Early AM Build-up|0|0|0
06:45:00|6|06:45-07:00|Early AM Build-up|0|0|0
07:00:00|7|07:00-07:15|AM Peak|1|1|0
07:15:00|7|07:15-07:30|AM Peak|1|1|0
07:30:00|7|07:30-07:45|AM Peak|1|1|0
07:45:00|7|07:45-08:00|AM Peak|1|1|0
08:00:00|8|08:00-08:15|AM Peak|1|1|0
08:15:00|8|08:15-08:30|AM Peak|1|1|0
08:30:00|8|08:30-08:45|AM Peak|1|1|0
08:45:00|8|08:45-09:00|AM Peak|1|1|0
09:00:00|9|09:00-09:15|Inter-peak|0|0|0
09:15:00|9|09:15-09:30|Inter-peak|0|0|0
09:30:00|9|09:30-09:45|Inter-peak|0|0|0
09:45:00|9|09:45-10:00|Inter-peak|0|0|0
10:00:00|10|10:00-10:15|Inter-peak|0|0|0
10:15:00|10|10:15-10:30|Inter-peak|0|0|0
10:30:00|10|10:30-10:45|Inter-peak|0|0|0
10:45:00|10|10:45-11:00|Inter-peak|0|0|0
11:00:00|11|11:00-11:15|Inter-peak|0|0|0
11:15:00|11|11:15-11:30|Inter-peak|0|0|0
11:30:00|11|11:30-11:45|Inter-peak|0|0|0
11:45:00|11|11:45-12:00|Inter-peak|0|0|0
12:00:00|12|12:00-12:15|Inter-peak|0|0|0
12:15:00|12|12:15-12:30|Inter-peak|0|0|0
12:30:00|12|12:30-12:45|Inter-peak|0|0|0
12:45:00|12|12:45-13:00|Inter-peak|0|0|0
13:00:00|13|13:00-13:15|Inter-peak|0|0|0
13:15:00|13|13:15-13:30|Inter-peak|0|0|0
13:30:00|13|13:30-13:45|Inter-peak|0|0|0
13:45:00|13|13:45-14:00|Inter-peak|0|0|0
14:00:00|14|14:00-14:15|Inter-peak|0|0|0
14:15:00|14|14:15-14:30|Inter-peak|0|0|0
14:30:00|14|14:30-14:45|Inter-peak|0|0|0
14:45:00|14|14:45-15:00|Inter-peak|0|0|0
15:00:00|15|15:00-15:15|PM Peak|1|0|1
15:15:00|15|15:15-15:30|PM Peak|1|0|1
15:30:00|15|15:30-15:45|PM Peak|1|0|1
15:45:00|15|15:45-16:00|PM Peak|1|0|1
16:00:00|16|16:00-16:15|PM Peak|1|0|1
16:15:00|16|16:15-16:30|PM Peak|1|0|1
16:30:00|16|16:30-16:45|PM Peak|1|0|1
16:45:00|16|16:45-17:00|PM Peak|1|0|1
17:00:00|17|17:00-17:15|PM Peak|1|0|1
17:15:00|17|17:15-17:30|PM Peak|1|0|1
17:30:00|17|17:30-17:45|PM Peak|1|0|1
17:45:00|17|17:45-18:00|PM Peak|1|0|1
18:00:00|18|18:00-18:15|Off-peak|0|0|0
18:15:00|18|18:15-18:30|Off-peak|0|0|0
18:30:00|18|18:30-18:45|Off-peak|0|0|0
18:45:00|18|18:45-19:00|Off-peak|0|0|0
19:00:00|19|19:00-19:15|Off-peak|0|0|0
19:15:00|19|19:15-19:30|Off-peak|0|0|0
19:30:00|19|19:30-19:45|Off-peak|0|0|0
19:45:00|19|19:45-20:00|Off-peak|0|0|0
20:00:00|20|20:00-20:15|Off-peak|0|0|0
20:15:00|20|20:15-20:30|Off-peak|0|0|0
20:30:00|20|20:30-20:45|Off-peak|0|0|0
20:45:00|20|20:45-21:00|Off-peak|0|0|0
21:00:00|21|21:00-21:15|Off-peak|0|0|0
21:15:00|21|21:15-21:30|Off-peak|0|0|0
21:30:00|21|21:30-21:45|Off-peak|0|0|0
21:45:00|21|21:45-22:00|Off-peak|0|0|0
22:00:00|22|22:00-22:15|Off-peak|0|0|0
22:15:00|22|22:15-22:30|Off-peak|0|0|0
22:30:00|22|22:30-22:45|Off-peak|0|0|0
22:45:00|22|22:45-23:00|Off-peak|0|0|0
23:00:00|23|23:00-23:15|Off-peak|0|0|0
23:15:00|23|23:15-23:30|Off-peak|0|0|0
23:30:00|23|23:30-23:45|Off-peak|0|0|0
23:45:00|23|23:45-00:00|Off-peak|0|0|0
