site_id|site_name|corridor|region|time_bin|time_label|period_type|total_vol|low_speed_share_pct
146|M1 Inbound - CH 17000|M1 Monash/West Gate Fwy|Greater Melbourne|07:00:00|07:00-07:15|AM Peak|100499|82.23
146|M1 Inbound - CH 17000|M1 Monash/West Gate Fwy|Greater Melbourne|07:15:00|07:15-07:30|AM Peak|107600|82.01
293|PFW 640m West of Kororoit Creek Road (IB)|Princes Fwy West|Greater Melbourne|07:45:00|07:45-08:00|AM Peak|107503|81.98
292|PFW 1280m West of Kororoit Creek Road (IB)|Princes Fwy West|Greater Melbourne|07:30:00|07:30-07:45|AM Peak|115975|81.96
293|PFW 640m West of Kororoit Creek Road (IB)|Princes Fwy West|Greater Melbourne|07:30:00|07:30-07:45|AM Peak|108438|81.94
146|M1 Inbound - CH 17000|M1 Monash/West Gate Fwy|Greater Melbourne|07:45:00|07:45-08:00|AM Peak|111850|81.90
146|M1 Inbound - CH 17000|M1 Monash/West Gate Fwy|Greater Melbourne|07:30:00|07:30-07:45|AM Peak|111131|81.88
166|M1 Inbound - CH 18380|M1 Monash/West Gate Fwy|Greater Melbourne|07:00:00|07:00-07:15|AM Peak|105049|81.77
292|PFW 1280m West of Kororoit Creek Road (IB)|Princes Fwy West|Greater Melbourne|07:45:00|07:45-08:00|AM Peak|114764|81.63
142|M1 Inbound - CH 15860|M1 Monash/West Gate Fwy|Greater Melbourne|07:00:00|07:00-07:15|AM Peak|92796|81.54
333|PFW 780m East of High Street/Newland St Entry Exit Ramps (OB)|Princes Fwy West|Greater Melbourne|16:45:00|16:45-17:00|PM Peak|144447|81.51
333|PFW 780m East of High Street/Newland St Entry Exit Ramps (OB)|Princes Fwy West|Greater Melbourne|17:15:00|17:15-17:30|PM Peak|144946|81.47
333|PFW 780m East of High Street/Newland St Entry Exit Ramps (OB)|Princes Fwy West|Greater Melbourne|16:15:00|16:15-16:30|PM Peak|147854|81.44
166|M1 Inbound - CH 18380|M1 Monash/West Gate Fwy|Greater Melbourne|07:30:00|07:30-07:45|AM Peak|115998|81.42
333|PFW 780m East of High Street/Newland St Entry Exit Ramps (OB)|Princes Fwy West|Greater Melbourne|16:30:00|16:30-16:45|PM Peak|145877|81.26
146|M1 Inbound - CH 17000|M1 Monash/West Gate Fwy|Greater Melbourne|08:00:00|08:00-08:15|AM Peak|111161|81.15
192|M1 Outbound - CH 24900|M1 Monash/West Gate Fwy|Greater Melbourne|15:45:00|15:45-16:00|PM Peak|151257|81.10
