corridor|heading|period_type|total_volume|wtd_avg_speed
M1 Monash/West Gate Fwy|E|Early AM Build-up|14972329|96.9
West Gate|E|Early AM Build-up|1531166|81.7
Tullamarine Fwy|W|PM Peak|1779886|83.2
M1 Monash/West Gate Fwy|E|Off-peak|127614478|95.2
West Gate|E|Off-peak|6752420|92.4
Princes Fwy West|W|Early AM Build-up|4412012|96.8
Princes Fwy West|W|Off-peak|33222630|94.4
West Gate|E|AM Peak|2956750|84.2
Tullamarine Fwy|S|Early AM Build-up|3339738|86.3
Other Metro Road|N|PM Peak|1924162|61.0
Tullamarine Fwy|S|Off-peak|19114982|85.9
Other Metro Road|N|Inter-peak|3362510|61.6
Tullamarine Fwy|N|Inter-peak|21868671|81.4
Tullamarine Fwy|N|PM Peak|13239319|78.1
Regional Freeway/Highway|W|Off-peak|263752|104.0
Regional Freeway/Highway|E|Early AM Build-up|44215|105.2
Other Metro Road|W|PM Peak|2910135|66.8
Tullamarine Fwy|E|Early AM Build-up|392784|83.7
Other Metro Road|W|Inter-peak|4546312|66.8
Tullamarine Fwy|E|Off-peak|2099293|82.3
M80 Ring Road|E|AM Peak|6195411|92.1
Tullamarine Fwy|W|Inter-peak|2879351|83.0
Regional Freeway/Highway|S|Off-peak|663021|94.2
Princes Fwy West|E|Early AM Build-up|6955095|78.4
Princes Fwy West|E|Off-peak|33080507|95.2
Tullamarine Fwy|E|Inter-peak|2818084|81.6
M1 Monash/West Gate Fwy|W|Early AM Build-up|26749955|80.0
Other Metro Road|N|AM Peak|1033233|62.5
West Gate|W|Off-peak|4|42.5
Regional Freeway/Highway|S|Early AM Build-up|187652|66.0
Other Metro Road|E|PM Peak|2295054|58.8
Tullamarine Fwy|W|AM Peak|869171|82.9
Other Metro Road|S|Inter-peak|4144833|66.4
M1 Monash/West Gate Fwy|W|PM Peak|94318742|92.9
Regional Freeway/Highway|W|Inter-peak|615323|101.9
Other Metro Road|S|Off-peak|2793949|70.3
Regional Freeway/Highway|W|PM Peak|270299|103.8
Tullamarine Fwy|S|Inter-peak|23100914|84.2
Regional Freeway/Highway|E|Off-peak|299454|103.5
Other Metro Road|S|Early AM Build-up|512658|64.6
Other Metro Road|W|AM Peak|1466021|64.8
M1 Monash/West Gate Fwy|W|Inter-peak|177504737|92.3
Other Metro Road|E|Inter-peak|3752030|59.9
Princes Fwy West|E|AM Peak|14109922|80.4
Tullamarine Fwy|N|AM Peak|6645070|81.4
Regional Freeway/Highway|N|Inter-peak|984477|91.1
Regional Freeway/Highway|N|PM Peak|434524|81.7
M80 Ring Road|W|Off-peak|11161052|95.5
M1 Monash/West Gate Fwy|W|Off-peak|119189740|95.6
Other Metro Road|E|Off-peak|2597904|63.8
M80 Ring Road|W|Early AM Build-up|2276284|91.2
M80 Ring Road|W|Inter-peak|16083513|93.9
Tullamarine Fwy|E|PM Peak|1390861|81.7
Tullamarine Fwy|E|AM Peak|984075|81.6
Princes Fwy West|W|AM Peak|11708526|95.7
M80 Ring Road|W|PM Peak|9449670|93.0
West Gate|W|PM Peak|1|7.5
M1 Monash/West Gate Fwy|E|Inter-peak|159670698|93.9
M1 Monash/West Gate Fwy|E|PM Peak|99109829|82.8
Regional Freeway/Highway|E|Inter-peak|561121|102.5
Regional Freeway/Highway|N|AM Peak|327142|88.7
Other Metro Road|S|AM Peak|1287390|61.1
Regional Freeway/Highway|E|PM Peak|343210|103.3
Tullamarine Fwy|S|PM Peak|10907058|84.0
Tullamarine Fwy|S|AM Peak|7991293|84.0
Princes Fwy West|E|PM Peak|25244135|94.0
Other Metro Road|S|PM Peak|2217255|65.6
Tullamarine Fwy|N|Early AM Build-up|3210931|81.0
M1 Monash/West Gate Fwy|E|AM Peak|43309831|95.1
Other Metro Road|W|Off-peak|3387595|70.2
M80 Ring Road|E|Early AM Build-up|2784101|92.8
M80 Ring Road|E|Off-peak|15635192|94.4
Regional Freeway/Highway|W|AM Peak|174811|103.4
Regional Freeway/Highway|S|Inter-peak|1120938|83.6
Other Metro Road|E|Early AM Build-up|417569|63.5
Princes Fwy West|E|Inter-peak|47368855|92.7
Other Metro Road|E|AM Peak|1124587|59.0
Tullamarine Fwy|W|Off-peak|2421848|84.0
M80 Ring Road|W|AM Peak|4825903|89.3
Regional Freeway/Highway|N|Early AM Build-up|153929|89.8
West Gate|E|PM Peak|4722257|90.4
M80 Ring Road|E|PM Peak|12334093|89.4
Tullamarine Fwy|W|Early AM Build-up|423190|83.4
Regional Freeway/Highway|S|AM Peak|380010|64.3
M80 Ring Road|E|Inter-peak|20569991|91.9
Other Metro Road|N|Off-peak|2585225|63.5
Other Metro Road|N|Early AM Build-up|392318|67.9
West Gate|E|Inter-peak|9560048|88.9
Regional Freeway/Highway|N|Off-peak|757418|94.4
Regional Freeway/Highway|W|Early AM Build-up|58653|103.5
Tullamarine Fwy|N|Off-peak|19833660|81.6
West Gate|W|AM Peak|3|14.2
Princes Fwy West|W|Inter-peak|46322988|93.7
Regional Freeway/Highway|E|AM Peak|121298|103.8
Princes Fwy West|W|PM Peak|28673346|86.8
Regional Freeway/Highway|S|PM Peak|463586|74.5
Other Metro Road|W|Early AM Build-up|516336|68.7
M1 Monash/West Gate Fwy|W|AM Peak|55243010|81.7
