site_id|site_name|corridor|region|latitude|longitude|is_core|total_volume|am_peak_volume|pm_peak_volume|peak_volume|wtd_avg_speed|peak_low_speed_share
10|M1 Inbound - Before Eastlink Interchange|M1 Monash/West Gate Fwy|Greater Melbourne|-37.9558300|145.2193260|0|3472157|448644|661311|1109955|92.8|53.76
101|M1 Inbound - RCB25164 Just After Koo Wee Rup Rd (FDS03b)|M1 Monash/West Gate Fwy|Greater Melbourne|-38.0920040|145.4813310|1|2611849|265652|608433|874085|98.2|24.28
102|M1 Outbound - RCB25164 Just Before Koo Wee Rup Rd (FDS03a)|M1 Monash/West Gate Fwy|Greater Melbourne|-38.0916050|145.4813580|1|2467220|277303|551252|828555|99.3|16.72
103|M1 Inbound - Koo Wee Rup|M1 Monash/West Gate Fwy|Greater Melbourne|-38.0920590|145.4871040|1|1403276|147606|321102|468708|98.3|20.80
104|M1 Outbound - Koo Wee Rup|M1 Monash/West Gate Fwy|Greater Melbourne|-38.0917680|145.4871360|1|1377089|152048|327844|479892|100.1|10.51
105|M1 Inbound - before Josephine avenue|M1 Monash/West Gate Fwy|Greater Melbourne|-38.0075470|145.2998090|1|6048852|712676|1166303|1878979|90.8|54.73
106|M1 Outbound - Just before Narre Warren Nth Road|M1 Monash/West Gate Fwy|Greater Melbourne|-38.0074780|145.3001730|1|5469709|502942|1246380|1749322|95.5|40.59
107|M80 Outbound - Keilor park off ramp (EB)|M80 Ring Road|Greater Melbourne|-37.7439900|144.8430890|1|8166283|939218|1620607|2559825|90.8|39.97
108|M80 Outbound - Keilor Park Drive Exit (EB)|M80 Ring Road|Greater Melbourne|-37.7404750|144.8489080|1|6943890|803302|1387697|2190999|92.4|58.02
109|M80 Inbound - Just before Keilor Park on ramp (WB)|M80 Ring Road|Greater Melbourne|-37.7407310|144.8492830|0|3967645|455969|818763|1274732|94.7|42.57
11|M1 Outbound - Past Eastlink Interchange|M1 Monash/West Gate Fwy|Greater Melbourne|-37.9555670|145.2196520|0|3276066|320977|701433|1022410|91.3|49.93
110|M80 Outbound - Beneath Gantry 153 (EB)|M80 Ring Road|Greater Melbourne|-37.7360850|144.8521240|1|6485933|707338|1371602|2078940|93.1|53.58
111|M80 Inbound - Keilor park exit Altona bound (WB)|M80 Ring Road|Greater Melbourne|-37.7362430|144.8525940|0|4294608|514186|910383|1424569|95.5|40.60
112|M80 Inbound - Keilor Park Drive Exit (WB)|M80 Ring Road|Greater Melbourne|-37.7327120|144.8541650|1|7533369|852036|1551979|2404015|94.0|51.26
113|M80 Outbound - Before Calder Fwy exit (EB)|M80 Ring Road|Greater Melbourne|-37.7324920|144.8537520|0|5001872|579141|992342|1571483|90.4|44.26
114|M80 Inbound - Altona bound EJ Whitten bridge (WB)|M80 Ring Road|Greater Melbourne|-37.7443890|144.8433680|0|7028551|796026|1463619|2259645|92.1|58.50
116|Calder FWY Outbound - After gantry M2-138 (WB)|Other Metro Road|Greater Melbourne|-37.7349300|144.8962000|1|3066665|287003|788756|1075759|86.2|49.65
117|Tullamarine FWY Outbound - After gantry M2-138 (WB)|Tullamarine Fwy|Greater Melbourne|-37.7347820|144.8963810|1|4186154|434617|889640|1324257|83.9|32.03
118|Tullamarine FWY Inbound - Before gantry M2-138 (EB)|Tullamarine Fwy|Greater Melbourne|-37.7346460|144.8964010|1|3844073|492102|695631|1187733|82.7|40.57
