corridor|vehicle_class|total_volume
M1 Monash/West Gate Fwy|0|3779006
West Gate|10|243115
Other Metro Road|9|530080
M80 Ring Road|1|82558162
Princes Fwy West|4|2250331
Princes Fwy West|10|2342696
Tullamarine Fwy|10|977019
Tullamarine Fwy|4|1322359
Regional Freeway/Highway|6|31261
M1 Monash/West Gate Fwy|6|2535566
Regional Freeway/Highway|12|10
M80 Ring Road|4|1492687
M80 Ring Road|10|1325283
M1 Monash/West Gate Fwy|3|88113821
West Gate|13|2753
Princes Fwy West|7|839257
Other Metro Road|12|1
Tullamarine Fwy|7|322469
Tullamarine Fwy|1|128125915
M80 Ring Road|13|6319
Regional Freeway/Highway|9|227712
Princes Fwy West|13|22087
Other Metro Road|1|37787801
M80 Ring Road|7|359494
West Gate|2|214143
Tullamarine Fwy|12|21
West Gate|8|118089
Princes Fwy West|8|537974
Princes Fwy West|2|2876027
Tullamarine Fwy|6|346113
M1 Monash/West Gate Fwy|12|169
Regional Freeway/Highway|4|129594
West Gate|5|89281
Other Metro Road|0|235049
Regional Freeway/Highway|10|244873
M80 Ring Road|8|371321
Princes Fwy West|5|794846
West Gate|11|50440
M80 Ring Road|2|927867
Other Metro Road|6|79037
Other Metro Road|14|8905
Regional Freeway/Highway|1|6297200
Tullamarine Fwy|9|1241970
Regional Freeway/Highway|7|50932
Tullamarine Fwy|3|11193539
M1 Monash/West Gate Fwy|9|17585981
Princes Fwy West|11|495566
Regional Freeway/Highway|13|276
Other Metro Road|3|3489917
M80 Ring Road|5|481691
Princes Fwy West|6|609188
Other Metro Road|11|41396
West Gate|12|80
M1 Monash/West Gate Fwy|4|9625997
Other Metro Road|5|149747
Princes Fwy West|0|1587120
Tullamarine Fwy|8|197823
M1 Monash/West Gate Fwy|10|10529990
Regional Freeway/Highway|8|33095
Regional Freeway/Highway|2|185486
Other Metro Road|2|236832
West Gate|3|2447203
M1 Monash/West Gate Fwy|1|763992752
Other Metro Road|8|62455
West Gate|9|499976
Princes Fwy West|3|26490161
M80 Ring Road|0|618785
Tullamarine Fwy|11|134181
Tullamarine Fwy|0|503191
M1 Monash/West Gate Fwy|13|23048
M80 Ring Road|11|190782
Regional Freeway/Highway|5|42420
M1 Monash/West Gate Fwy|7|3644704
West Gate|6|77837
M80 Ring Road|3|10847682
West Gate|0|167808
M1 Monash/West Gate Fwy|2|10957570
Other Metro Road|7|76624
Regional Freeway/Highway|0|33365
Other Metro Road|13|468
Tullamarine Fwy|2|627811
M80 Ring Road|12|81
Princes Fwy West|12|152
M1 Monash/West Gate Fwy|8|2507881
West Gate|7|91633
M80 Ring Road|6|272392
West Gate|1|21242877
Regional Freeway/Highway|14|13
Other Metro Road|10|144733
Tullamarine Fwy|13|4005
M1 Monash/West Gate Fwy|5|2988624
Other Metro Road|4|424031
Princes Fwy West|9|3234011
Princes Fwy West|1|209018600
Tullamarine Fwy|5|313763
M1 Monash/West Gate Fwy|11|1398240
Regional Freeway/Highway|3|903011
West Gate|4|277414
M80 Ring Road|9|1862664
Regional Freeway/Highway|11|45585
