site|baseline_median_speed|offpeak_volume
10|97.5|886304
101|97.5|584248
102|97.5|520568
103|97.5|312727
104|97.5|287426
105|97.5|1547069
106|97.5|1590824
107|92.5|2234052
108|97.5|1905990
109|97.5|1135586
11|97.5|994447
110|97.5|1738678
111|97.5|1057058
112|97.5|2109998
113|92.5|1415568
114|97.5|1901655
116|87.5|824016
117|82.5|1210720
118|82.5|1050215
119|82.5|1049088
12|97.5|1831616
120|82.5|1211118
121|77.5|1210741
122|77.5|1643188
123|77.5|1579495
124|82.5|1636884
125|82.5|1640133
126|82.5|1572872
127|82.5|1779227
128|82.5|1700769
129|82.5|1555142
13|97.5|2092854
130|82.5|1633583
131|87.5|1469888
132|92.5|1482386
133|82.5|1358935
134|97.5|1145445
135|87.5|1098801
136|97.5|920121
137|82.5|1698560
138|92.5|1131546
139|82.5|1910070
14|97.5|1791870
140|92.5|906843
141|82.5|1919632
142|97.5|1725976
143|97.5|1881784
144|97.5|2110347
145|92.5|2428576
146|97.5|2111164
147|97.5|2428511
148|97.5|2105185
149|97.5|2433341
15|97.5|1749529
151|82.5|77644
153|92.5|106281
155|82.5|1105764
156|77.5|1193794
157|77.5|1478019
158|82.5|1666594
159|77.5|42625
16|97.5|2185724
160|82.5|1146463
161|77.5|937067
162|87.5|200130
163|97.5|459040
166|97.5|2285742
167|97.5|2633142
168|97.5|1602395
169|92.5|2529599
17|97.5|2527191
170|97.5|2170119
171|92.5|2471213
172|97.5|2263763
173|97.5|2651301
174|97.5|1862229
175|97.5|2372403
176|97.5|2046618
177|97.5|2374344
178|92.5|2170779
179|97.5|2497640
18|97.5|2176374
180|97.5|1891790
181|97.5|2193474
182|97.5|1890201
183|97.5|2196012
184|97.5|1889605
185|97.5|2197631
186|97.5|2124191
187|97.5|2500572
188|97.5|2122046
189|97.5|2502922
19|97.5|1583110
190|97.5|1943314
191|97.5|2226450
192|97.5|2399770
193|97.5|1861845
194|97.5|2150492
195|97.5|2059600
196|97.5|2422801
197|97.5|1957912
198|97.5|1809257
199|97.5|1958784
2|97.5|1592811
20|97.5|1793537
200|97.5|1820223
202|97.5|1821135
203|97.5|1821772
204|97.5|1393109
21|97.5|2250554
213|97.5|763987
214|97.5|821429
215|97.5|1043722
216|97.5|1084910
217|97.5|1075596
219|97.5|954719
22|97.5|2014119
220|102.5|961488
221|97.5|962493
222|97.5|2420620
223|92.5|1474459
225|97.5|1523677
226|97.5|1403519
227|97.5|425751
229|97.5|1868988
23|97.5|2271347
230|97.5|580415
231|97.5|898068
233|97.5|1088867
234|97.5|1052403
236|97.5|832314
239|97.5|1061108
24|97.5|2318780
240|97.5|1088090
241|57.5|385931
242|57.5|335843
243|62.5|527480
244|62.5|425264
245|77.5|768694
246|72.5|819515
247|52.5|841060
248|52.5|686964
249|57.5|343374
25|97.5|2603938
250|57.5|290825
251|72.5|483685
252|72.5|600931
253|62.5|684477
254|62.5|531329
255|72.5|202277
256|72.5|185386
257|67.5|412641
258|67.5|475945
259|62.5|304079
26|97.5|2302627
260|62.5|246736
261|67.5|88914
262|67.5|111518
263|57.5|140681
264|62.5|188068
265|97.5|961871
266|97.5|805398
267|97.5|1090127
268|97.5|1020255
269|97.5|1091450
27|92.5|2002249
270|97.5|1028302
273|97.5|1028401
276|97.5|966524
279|97.5|986223
28|97.5|1441914
280|97.5|1626859
281|97.5|1695241
282|97.5|1494365
283|97.5|1520238
287|97.5|1449692
288|92.5|2000317
289|92.5|1993123
29|97.5|738942
292|97.5|2051520
293|97.5|1888707
3|97.5|2015043
30|97.5|1441974
306|97.5|1100071
309|97.5|1721571
31|97.5|1177673
310|97.5|1979608
311|97.5|2054388
312|97.5|1526322
313|102.5|835905
314|97.5|819380
315|97.5|955257
316|97.5|942201
317|97.5|953356
318|97.5|873368
319|97.5|871385
32|97.5|1712104
320|97.5|793351
321|97.5|839091
322|97.5|884711
323|97.5|1679268
324|97.5|1678243
325|97.5|1495733
326|92.5|1487409
327|92.5|1560249
328|87.5|1847378
33|97.5|1553772
330|92.5|2195925
331|97.5|1943841
